,idListaCobro,idEmisora,TipoEnvio,BancoSimplificado,idCredito,consecutivoCobro,idBanco,montoExigible,montoCobrar,montoCobrado,fechaCobroBanco,idRespuestaBanco,CobroExitoso
18049,156279,10,TRADICIONAL,SANTANDER,85338,41469169,14,2373.72,2373.72,0.0,,4.0,False
18051,156279,10,TRADICIONAL,SANTANDER,126898,41468890,14,2955.1,2955.1,0.0,,4.0,False
18052,156279,10,TRADICIONAL,SANTANDER,132530,41469091,14,1038.6,1038.6,0.0,,4.0,False
18055,156279,10,TRADICIONAL,SANTANDER,325974,41468836,14,2826.66,2826.66,0.0,,4.0,False
18057,156279,10,TRADICIONAL,SANTANDER,333640,41469331,14,1064.6,1064.6,0.0,,4.0,False
18060,156279,10,TRADICIONAL,SANTANDER,342168,41468750,14,1691.12,1691.12,0.0,,4.0,False
18061,156279,10,TRADICIONAL,SANTANDER,343209,41469290,14,2918.76,2918.76,0.0,,4.0,False
18062,156279,10,TRADICIONAL,SANTANDER,351194,41469195,14,115.4,115.4,115.4,15/01/2025,0.0,True
18066,156279,10,TRADICIONAL,SANTANDER,356098,41468759,14,1981.76,1981.76,0.0,,4.0,False
18069,156279,10,TRADICIONAL,SANTANDER,361431,41469371,14,1981.76,1981.76,0.0,,4.0,False
18075,156279,10,TRADICIONAL,SANTANDER,383468,41468579,14,683.78,683.78,0.0,,4.0,False
18076,156279,10,TRADICIONAL,SANTANDER,389521,41469122,14,3439.54,3439.54,0.0,,4.0,False
18077,156279,10,TRADICIONAL,SANTANDER,391698,41468813,14,370.89,370.89,0.0,,4.0,False
18078,156279,10,TRADICIONAL,SANTANDER,393946,41468586,14,591.12,591.12,0.0,,4.0,False
18079,156279,10,TRADICIONAL,SANTANDER,399303,41468537,14,5930.16,5930.16,0.0,,4.0,False
18081,156279,10,TRADICIONAL,SANTANDER,403937,41468883,14,6732.94,6732.94,0.0,,4.0,False
18083,156279,10,TRADICIONAL,SANTANDER,407391,41469314,14,4410.26,4410.26,0.0,,4.0,False
18084,156279,10,TRADICIONAL,SANTANDER,407500,41469276,14,7332.23,7332.23,0.0,,4.0,False
18085,156279,10,TRADICIONAL,SANTANDER,408411,41468826,14,2491.67,2491.67,0.0,,4.0,False
18090,156279,10,TRADICIONAL,SANTANDER,417615,41469125,14,1258.0,1258.0,0.0,,4.0,False
18091,156279,10,TRADICIONAL,SANTANDER,419156,41469177,14,3615.36,3615.36,0.0,,4.0,False
18094,156279,10,TRADICIONAL,SANTANDER,431333,41468600,14,2664.62,2664.62,0.0,,4.0,False
18096,156279,10,TRADICIONAL,SANTANDER,443781,41469218,14,1264.98,1264.98,0.0,,4.0,False
18098,156279,10,TRADICIONAL,SANTANDER,461239,41468942,14,1443.78,1443.78,0.0,,4.0,False
18102,156279,10,TRADICIONAL,SANTANDER,471592,41469027,14,733.72,733.72,0.0,,4.0,False
18103,156279,10,TRADICIONAL,SANTANDER,479208,41468701,14,1001.24,1001.24,0.0,,4.0,False
18108,156279,10,TRADICIONAL,SANTANDER,485375,41468832,14,3507.9,3507.9,0.0,,2.0,False
18109,156279,10,TRADICIONAL,SANTANDER,485664,41468517,14,1946.94,1946.94,0.0,,4.0,False
18110,156279,10,TRADICIONAL,SANTANDER,486278,41469294,14,5481.66,5481.66,0.0,,4.0,False
18111,156279,10,TRADICIONAL,SANTANDER,486281,41469097,14,1251.58,1251.58,0.0,,4.0,False
18112,156279,10,TRADICIONAL,SANTANDER,489371,41469158,14,1521.34,1521.34,0.0,,4.0,False
18113,156279,10,TRADICIONAL,SANTANDER,489963,41469351,14,824.58,824.58,0.0,,4.0,False
18114,156279,10,TRADICIONAL,SANTANDER,490127,41468644,14,1018.94,1018.94,0.0,,4.0,False
18117,156279,10,TRADICIONAL,SANTANDER,496126,41468809,14,3058.66,3058.66,0.0,,4.0,False
18118,156279,10,TRADICIONAL,SANTANDER,496751,41468618,14,625.78,625.78,0.0,,4.0,False
18119,156279,10,TRADICIONAL,SANTANDER,497297,41468565,14,4818.48,4818.48,0.0,,4.0,False
18133,156279,10,TRADICIONAL,SANTANDER,506822,41468706,14,3955.42,3955.42,0.0,,4.0,False
18134,156279,10,TRADICIONAL,SANTANDER,506907,41468898,14,996.66,996.66,0.0,,4.0,False
18135,156279,10,TRADICIONAL,SANTANDER,516236,41468909,14,834.5,834.5,0.0,,4.0,False
18136,156279,10,TRADICIONAL,SANTANDER,518630,41469006,14,512.83,512.83,0.0,,4.0,False
18137,156279,10,TRADICIONAL,SANTANDER,520891,41468711,14,221.68,221.68,0.0,,4.0,False
18138,156279,10,TRADICIONAL,SANTANDER,521173,41469323,14,198.3,198.3,0.0,,4.0,False
18141,156279,10,TRADICIONAL,SANTANDER,523771,41469212,14,1213.22,1213.22,0.0,,4.0,False
18142,156279,10,TRADICIONAL,SANTANDER,524535,41468865,14,957.22,957.22,0.0,,2.0,False
18143,156279,10,TRADICIONAL,SANTANDER,524901,41469008,14,3837.92,3837.92,0.0,,4.0,False
18145,156279,10,TRADICIONAL,SANTANDER,526108,41469270,14,693.99,693.99,0.0,,4.0,False
18146,156279,10,TRADICIONAL,SANTANDER,526372,41468997,14,1148.68,1148.68,0.0,,4.0,False
18147,156279,10,TRADICIONAL,SANTANDER,526933,41469043,14,1129.52,1129.52,0.0,,4.0,False
18150,156279,10,TRADICIONAL,SANTANDER,528037,41468527,14,686.94,686.94,0.0,,4.0,False
18151,156279,10,TRADICIONAL,SANTANDER,529362,41468956,14,447.74,447.74,0.0,,4.0,False
18152,156279,10,TRADICIONAL,SANTANDER,530700,41469042,14,588.7,588.7,0.0,,4.0,False
18153,156279,10,TRADICIONAL,SANTANDER,531111,41469124,14,478.62,478.62,0.0,,4.0,False
18155,156279,10,TRADICIONAL,SANTANDER,531400,41469220,14,729.6,729.6,0.0,,4.0,False
18157,156279,10,TRADICIONAL,SANTANDER,532694,41468663,14,1367.56,1367.56,0.0,,4.0,False
18159,156279,10,TRADICIONAL,SANTANDER,534841,41469227,14,287.17,287.17,0.0,,4.0,False
18160,156279,10,TRADICIONAL,SANTANDER,535387,41469030,14,1292.26,1292.26,0.0,,4.0,False
18161,156279,10,TRADICIONAL,SANTANDER,536193,41469011,14,1292.26,1292.26,0.0,,4.0,False
18163,156279,10,TRADICIONAL,SANTANDER,538821,41469334,14,1344.06,1344.06,0.0,,4.0,False
18164,156279,10,TRADICIONAL,SANTANDER,538980,41468632,14,443.7,443.7,0.0,,4.0,False
18165,156279,10,TRADICIONAL,SANTANDER,539186,41468876,14,2149.54,2149.54,0.0,,4.0,False
18167,156279,10,TRADICIONAL,SANTANDER,541803,41468961,14,2838.84,2838.84,0.0,,4.0,False
18168,156279,10,TRADICIONAL,SANTANDER,542337,41468708,14,2225.32,2225.32,0.0,,4.0,False
18169,156279,10,TRADICIONAL,SANTANDER,545417,41468758,14,2996.1,2996.1,0.0,,4.0,False
18170,156279,10,TRADICIONAL,SANTANDER,545601,41468790,14,300.83,300.83,0.0,,4.0,False
18172,156279,10,TRADICIONAL,SANTANDER,546652,41469105,14,4210.62,4210.62,0.0,,4.0,False
18173,156279,10,TRADICIONAL,SANTANDER,546664,41469106,14,2000.06,2000.06,0.0,,4.0,False
18175,156279,10,TRADICIONAL,SANTANDER,548087,41469190,14,123.0,123.0,0.0,,4.0,False
18176,156279,10,TRADICIONAL,SANTANDER,548163,41468615,14,560.98,560.98,0.0,,4.0,False
18179,156279,10,TRADICIONAL,SANTANDER,551085,41469089,14,1509.94,1509.94,0.0,,4.0,False
18183,156279,10,TRADICIONAL,SANTANDER,571887,41469304,14,605.94,605.94,0.0,,4.0,False
18185,156279,10,TRADICIONAL,SANTANDER,579047,41468974,14,474.08,474.08,0.0,,4.0,False
18186,156279,10,TRADICIONAL,SANTANDER,579287,41469282,14,1656.0,1656.0,0.0,,4.0,False
18187,156279,10,TRADICIONAL,SANTANDER,580123,41468575,14,370.95,370.95,0.0,,2.0,False
18188,156279,10,TRADICIONAL,SANTANDER,580820,41469265,14,789.71,789.71,0.0,,4.0,False
18190,156279,10,TRADICIONAL,SANTANDER,580970,41468834,14,2317.94,2317.94,0.0,,4.0,False
18191,156279,10,TRADICIONAL,SANTANDER,581251,41469167,14,2412.22,2412.22,0.0,,4.0,False
18192,156279,10,TRADICIONAL,SANTANDER,581477,41468855,14,1199.97,1199.97,0.0,,4.0,False
18194,156279,10,TRADICIONAL,SANTANDER,583580,41469328,14,1012.27,1012.27,0.0,,4.0,False
18196,156279,10,TRADICIONAL,SANTANDER,584347,41468743,14,1010.5,1010.5,0.0,,4.0,False
18197,156279,10,TRADICIONAL,SANTANDER,584470,41468641,14,1016.89,1016.89,0.0,,4.0,False
18198,156279,10,TRADICIONAL,SANTANDER,584805,41468580,14,650.0,650.0,0.0,,4.0,False
18199,156279,10,TRADICIONAL,SANTANDER,585103,41469096,14,556.18,556.18,0.0,,4.0,False
18200,156279,10,TRADICIONAL,SANTANDER,585719,41469201,14,1599.99,1599.99,0.0,,2.0,False
18203,156279,10,TRADICIONAL,SANTANDER,586471,41469369,14,1112.2,1112.2,0.0,,4.0,False
18204,156279,10,TRADICIONAL,SANTANDER,586634,41469056,14,1094.26,1094.26,0.0,,4.0,False
18205,156279,10,TRADICIONAL,SANTANDER,586635,41469333,14,2482.7,2482.7,0.0,,4.0,False
18206,156279,10,TRADICIONAL,SANTANDER,586848,41468529,14,854.98,854.98,0.0,,4.0,False
18207,156279,10,TRADICIONAL,SANTANDER,587242,41469350,14,1066.38,1066.38,0.0,,4.0,False
18208,156279,10,TRADICIONAL,SANTANDER,587503,41469332,14,1674.04,1674.04,0.0,,4.0,False
18209,156279,10,TRADICIONAL,SANTANDER,587854,41469114,14,884.5,884.5,0.0,,4.0,False
18210,156279,10,TRADICIONAL,SANTANDER,588227,41468806,14,2521.72,2521.72,0.0,,4.0,False
18211,156279,10,TRADICIONAL,SANTANDER,588934,41468745,14,2051.94,2051.94,0.0,,4.0,False
18212,156279,10,TRADICIONAL,SANTANDER,589226,41469346,14,2049.72,2049.72,0.0,,4.0,False
18213,156279,10,TRADICIONAL,SANTANDER,589553,41469298,14,3007.16,3007.16,0.0,,2.0,False
18214,156279,10,TRADICIONAL,SANTANDER,590089,41468619,14,1675.2,1675.2,0.0,,4.0,False
18215,156279,10,TRADICIONAL,SANTANDER,590351,41468675,14,1502.0,1502.0,0.0,,4.0,False
18216,156279,10,TRADICIONAL,SANTANDER,590445,41469123,14,743.98,743.98,0.0,,4.0,False
18217,156279,10,TRADICIONAL,SANTANDER,590741,41468827,14,1749.94,1749.94,0.0,,4.0,False
18223,156279,10,TRADICIONAL,SANTANDER,592717,41468556,14,1330.26,1330.26,0.0,,4.0,False
18225,156279,10,TRADICIONAL,SANTANDER,593646,41469381,14,1979.72,1979.72,0.0,,4.0,False
18226,156279,10,TRADICIONAL,SANTANDER,594210,41468884,14,139.99,139.99,0.0,,4.0,False
18232,156279,10,TRADICIONAL,SANTANDER,595099,41468697,14,1009.82,1009.82,0.0,,4.0,False
18233,156279,10,TRADICIONAL,SANTANDER,595254,41468973,14,1373.9,1373.9,0.0,,4.0,False
18234,156279,10,TRADICIONAL,SANTANDER,595574,41468725,14,772.16,772.16,0.0,,4.0,False
18238,156279,10,TRADICIONAL,SANTANDER,599303,41469263,14,1115.68,1115.68,0.0,,4.0,False
18239,156279,10,TRADICIONAL,SANTANDER,599624,41469146,14,1206.0,1206.0,0.0,,4.0,False
18240,156279,10,TRADICIONAL,SANTANDER,601283,41469236,14,1933.26,1933.26,0.0,,4.0,False
18241,156279,10,TRADICIONAL,SANTANDER,601397,41469300,14,2855.92,2855.92,0.0,,4.0,False
18242,156279,10,TRADICIONAL,SANTANDER,601648,41469252,14,2456.72,2456.72,0.0,,2.0,False
18243,156279,10,TRADICIONAL,SANTANDER,601649,41468955,14,1048.88,1048.88,0.0,,2.0,False
18245,156279,10,TRADICIONAL,SANTANDER,602315,41468910,14,431.9,431.9,0.0,,4.0,False
18246,156279,10,TRADICIONAL,SANTANDER,602334,41469090,14,1645.33,1645.33,0.0,,4.0,False
18247,156279,10,TRADICIONAL,SANTANDER,602974,41468598,14,2315.38,2315.38,0.0,,4.0,False
18248,156279,10,TRADICIONAL,SANTANDER,603249,41469326,14,1505.12,1505.12,0.0,,4.0,False
18251,156279,10,TRADICIONAL,SANTANDER,605449,41468889,14,439.99,439.99,0.0,,4.0,False
18260,156279,10,TRADICIONAL,SANTANDER,606030,41468798,14,563.6,563.6,563.6,10/01/2025,0.0,True
18263,156279,10,TRADICIONAL,SANTANDER,606206,41468690,14,291.82,291.82,0.0,,4.0,False
18265,156279,10,TRADICIONAL,SANTANDER,606643,41468738,14,312.89,312.89,0.0,,2.0,False
18266,156279,10,TRADICIONAL,SANTANDER,606829,41469083,14,1281.28,1281.28,0.0,,8.0,False
18267,156279,10,TRADICIONAL,SANTANDER,606984,41469181,14,150.54,150.54,0.0,,4.0,False
18273,156279,10,TRADICIONAL,SANTANDER,609260,41468679,14,880.36,880.36,0.0,,4.0,False
18275,156279,10,TRADICIONAL,SANTANDER,609322,41468607,14,1078.98,1078.98,0.0,,4.0,False
18276,156279,10,TRADICIONAL,SANTANDER,609494,41469054,14,1388.04,1388.04,0.0,,4.0,False
18285,156279,10,TRADICIONAL,SANTANDER,610632,41469171,14,1697.98,1697.98,0.0,,4.0,False
18287,156279,10,TRADICIONAL,SANTANDER,610899,41469258,14,384.62,384.62,0.0,,4.0,False
18288,156279,10,TRADICIONAL,SANTANDER,610935,41468931,14,1354.81,1354.81,0.0,,4.0,False
18298,156279,10,TRADICIONAL,SANTANDER,611327,41468755,14,535.98,535.98,0.0,,4.0,False
18301,156279,10,TRADICIONAL,SANTANDER,611436,41469329,14,1251.99,1251.99,0.0,,4.0,False
18303,156279,10,TRADICIONAL,SANTANDER,611574,41469256,14,505.1,505.1,505.1,15/01/2025,0.0,True
18309,156279,10,TRADICIONAL,SANTANDER,612095,41468551,14,349.93,349.93,0.0,,4.0,False
18310,156279,10,TRADICIONAL,SANTANDER,612432,41469082,14,1666.98,1666.98,0.0,,4.0,False
18312,156279,10,TRADICIONAL,SANTANDER,612617,41468534,14,976.0,976.0,0.0,,4.0,False
18316,156279,10,TRADICIONAL,SANTANDER,613392,41469174,14,1251.99,1251.99,0.0,,4.0,False
18327,156279,10,TRADICIONAL,SANTANDER,616135,41469039,14,1636.41,1636.41,0.0,,4.0,False
18328,156279,10,TRADICIONAL,SANTANDER,616285,41469301,14,229.97,229.97,0.0,,4.0,False
18329,156279,10,TRADICIONAL,SANTANDER,616348,41468525,14,1542.0,1542.0,0.0,,4.0,False
18345,156279,10,TRADICIONAL,SANTANDER,619458,41468871,14,1548.98,1548.98,0.0,,4.0,False
18346,156279,10,TRADICIONAL,SANTANDER,619579,41468691,14,1605.34,1605.34,0.0,,4.0,False
18347,156279,10,TRADICIONAL,SANTANDER,619972,41469377,14,1112.2,1112.2,0.0,,4.0,False
18353,156279,10,TRADICIONAL,SANTANDER,620643,41468566,14,7676.6,7676.6,0.0,,4.0,False
18358,156279,10,TRADICIONAL,SANTANDER,620941,41469098,14,400.0,400.0,0.0,,4.0,False
18360,156279,10,TRADICIONAL,SANTANDER,621281,41468631,14,613.26,613.26,0.0,,4.0,False
18364,156279,10,TRADICIONAL,SANTANDER,621495,41469024,14,503.76,503.76,0.0,,4.0,False
18365,156279,10,TRADICIONAL,SANTANDER,621796,41468714,14,768.02,768.02,0.0,,2.0,False
18366,156279,10,TRADICIONAL,SANTANDER,622266,41469032,14,2190.07,2190.07,0.0,,4.0,False
18369,156279,10,TRADICIONAL,SANTANDER,622787,41468735,14,636.48,636.48,0.0,,2.0,False
18371,156279,10,TRADICIONAL,SANTANDER,623502,41468930,14,4402.34,4402.34,0.0,,4.0,False
18377,156279,10,TRADICIONAL,SANTANDER,625789,41468791,14,1815.33,1815.33,0.0,,2.0,False
18381,156279,10,TRADICIONAL,SANTANDER,627674,41468521,14,3162.44,3162.44,0.0,,4.0,False
18383,156279,10,TRADICIONAL,SANTANDER,627878,41469175,14,1096.0,1096.0,0.0,,4.0,False
18388,156279,10,TRADICIONAL,SANTANDER,629573,41468609,14,424.0,424.0,0.0,,4.0,False
18392,156279,10,TRADICIONAL,SANTANDER,630026,41468634,14,711.81,711.81,0.0,,2.0,False
18393,156279,10,TRADICIONAL,SANTANDER,630233,41468981,14,1089.65,1089.65,0.0,,4.0,False
18395,156279,10,TRADICIONAL,SANTANDER,631024,41469292,14,3128.89,3128.89,0.0,,4.0,False
18398,156279,10,TRADICIONAL,SANTANDER,631406,41468578,14,1334.64,1334.64,0.0,,4.0,False
18399,156279,10,TRADICIONAL,SANTANDER,631594,41469013,14,688.2,688.2,0.0,,4.0,False
18404,156279,10,TRADICIONAL,SANTANDER,632750,41469341,14,5352.66,5352.66,0.0,,4.0,False
18414,156279,10,TRADICIONAL,SANTANDER,633999,41469012,14,1529.33,1529.33,0.0,,4.0,False
18416,156279,10,TRADICIONAL,SANTANDER,634361,41468546,14,544.98,544.98,0.0,,2.0,False
18417,156279,10,TRADICIONAL,SANTANDER,634411,41468979,14,1085.72,1085.72,0.0,,4.0,False
18418,156279,10,TRADICIONAL,SANTANDER,634426,41468557,14,1010.66,1010.66,0.0,,4.0,False
18422,156279,10,TRADICIONAL,SANTANDER,634882,41469308,14,341.88,341.88,0.0,,4.0,False
18426,156279,10,TRADICIONAL,SANTANDER,635196,41468668,14,2899.8,2899.8,0.0,,4.0,False
18428,156279,10,TRADICIONAL,SANTANDER,635594,41468652,14,2676.33,2676.33,0.0,,4.0,False
18430,156279,10,TRADICIONAL,SANTANDER,635762,41468990,14,469.33,469.33,0.0,,2.0,False
18431,156279,10,TRADICIONAL,SANTANDER,635895,41468921,14,3128.98,3128.98,0.0,,4.0,False
18434,156279,10,TRADICIONAL,SANTANDER,636147,41469344,14,1082.62,1082.62,0.0,,4.0,False
18444,156279,10,TRADICIONAL,SANTANDER,638161,41469047,14,764.67,764.67,0.0,,4.0,False
18448,156279,10,TRADICIONAL,SANTANDER,639566,41469382,14,272.21,272.21,0.0,,4.0,False
18453,156279,10,TRADICIONAL,SANTANDER,641204,41469284,14,903.56,903.56,0.0,,4.0,False
18455,156279,10,TRADICIONAL,SANTANDER,641602,41469016,14,885.4,885.4,0.0,,4.0,False
18465,156279,10,TRADICIONAL,SANTANDER,643574,41468617,14,1690.78,1690.78,0.0,,4.0,False
18466,156279,10,TRADICIONAL,SANTANDER,643638,41468539,14,923.72,923.72,0.0,,4.0,False
18472,156279,10,TRADICIONAL,SANTANDER,644405,41468861,14,794.99,794.99,0.0,,4.0,False
18474,156279,10,TRADICIONAL,SANTANDER,644579,41469288,14,625.78,625.78,0.0,,4.0,False
18477,156279,10,TRADICIONAL,SANTANDER,645355,41469339,14,1395.75,1395.75,0.0,,2.0,False
18478,156279,10,TRADICIONAL,SANTANDER,645648,41468796,14,542.99,542.99,0.0,,4.0,False
18482,156279,10,TRADICIONAL,SANTANDER,646290,41469337,14,469.33,469.33,0.0,,4.0,False
18483,156279,10,TRADICIONAL,SANTANDER,646386,41469320,14,938.67,938.67,0.0,,4.0,False
18484,156279,10,TRADICIONAL,SANTANDER,646609,41468970,14,878.64,878.64,0.0,,2.0,False
18485,156279,10,TRADICIONAL,SANTANDER,646675,41468852,14,556.1,556.1,0.0,,3.0,False
18487,156279,10,TRADICIONAL,SANTANDER,646844,41468957,14,1517.67,1517.67,0.0,,2.0,False
18495,156279,10,TRADICIONAL,SANTANDER,649168,41469361,14,2932.97,2932.97,0.0,,2.0,False
18497,156279,10,TRADICIONAL,SANTANDER,649846,41468986,14,2500.21,2500.21,0.0,,4.0,False
18499,156279,10,TRADICIONAL,SANTANDER,650167,41468792,14,747.5,747.5,0.0,,4.0,False
18501,156279,10,TRADICIONAL,SANTANDER,650458,41469137,14,1060.0,1060.0,0.0,,4.0,False
18502,156279,10,TRADICIONAL,SANTANDER,650724,41469162,14,244.06,244.06,0.0,,4.0,False
18504,156279,10,TRADICIONAL,SANTANDER,651041,41468588,14,903.56,903.56,0.0,,4.0,False
18508,156279,10,TRADICIONAL,SANTANDER,651815,41469192,14,938.67,938.67,0.0,,4.0,False
18511,156279,10,TRADICIONAL,SANTANDER,652108,41468572,14,926.9,926.9,0.0,,4.0,False
18514,156279,10,TRADICIONAL,SANTANDER,652361,41468928,14,260.93,260.93,0.0,,4.0,False
18535,156279,10,TRADICIONAL,SANTANDER,655623,41468732,14,3358.77,3358.77,0.0,,4.0,False
18539,156279,10,TRADICIONAL,SANTANDER,655729,41468688,14,538.7,538.7,0.0,,4.0,False
18544,156279,10,TRADICIONAL,SANTANDER,656277,41468964,14,1664.12,1664.12,0.0,,2.0,False
18560,156279,10,TRADICIONAL,SANTANDER,657714,41469199,14,289.42,289.42,289.42,14/01/2025,0.0,True
18561,156279,10,TRADICIONAL,SANTANDER,657774,41468540,14,769.38,769.38,0.0,,4.0,False
18565,156279,10,TRADICIONAL,SANTANDER,658079,41468766,14,7093.25,7093.25,0.0,,2.0,False
18569,156279,10,TRADICIONAL,SANTANDER,658799,41468856,14,180.81,180.81,0.0,,2.0,False
18580,156279,10,TRADICIONAL,SANTANDER,660231,41469150,14,566.95,566.95,0.0,,4.0,False
18586,156279,10,TRADICIONAL,SANTANDER,661467,41468860,14,642.87,642.87,0.0,,4.0,False
18588,156279,10,TRADICIONAL,SANTANDER,661680,41469173,14,352.9,352.9,0.0,,4.0,False
18592,156279,10,TRADICIONAL,SANTANDER,661774,41468734,14,1245.81,1245.81,0.0,,4.0,False
